2025-05-23_01-57-48 loss=0.000792, validation loss=0.002213, train_mae=0.019051, val_mae=0.020429, params={'n_layers': 3, 'n_units': 33, 'activation': 'leaky_relu', 'optimizer': 'RAdam', 'lr': 0.002802585997027883, 'batchsize': 749}
2025-05-23_02-38-49 loss=0.001207, validation loss=0.002293, train_mae=0.016505, val_mae=0.017349, params={'n_layers': 2, 'n_units': 28, 'activation': 'sigmoid', 'optimizer': 'RAdam', 'lr': 0.0067887134164715535, 'batchsize': 1063}
2025-05-23_03-33-08 loss=0.000052, validation loss=0.002779, train_mae=0.003874, val_mae=0.006561, params={'n_layers': 8, 'n_units': 165, 'activation': 'tanh', 'optimizer': 'RAdam', 'lr': 0.00024224510671220289, 'batchsize': 151}
2025-05-23_04-08-14 loss=1.000038, validation loss=0.998124, train_mae=0.756070, val_mae=0.754342, params={'n_layers': 6, 'n_units': 244, 'activation': 'sigmoid', 'optimizer': 'rmsprop', 'lr': 2.4886021491441465e-05, 'batchsize': 406}
2025-05-23_06-09-17 loss=0.575732, validation loss=0.568645, train_mae=0.543786, val_mae=0.541137, params={'n_layers': 5, 'n_units': 182, 'activation': 'swish', 'optimizer': 'sgd', 'lr': 0.0005278433834929184, 'batchsize': 1349}
2025-05-23_06-38-25 loss=0.002847, validation loss=0.004115, train_mae=0.018127, val_mae=0.019217, params={'n_layers': 5, 'n_units': 111, 'activation': 'swish', 'optimizer': 'AdamW', 'lr': 0.0008607525532730519, 'batchsize': 1020}
2025-05-23_07-10-25 loss=0.000430, validation loss=0.001376, train_mae=0.006466, val_mae=0.007269, params={'n_layers': 12, 'n_units': 427, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.00022814052378093328, 'batchsize': 730}
2025-05-23_07-32-32 loss=0.005847, validation loss=0.006769, train_mae=0.040032, val_mae=0.041040, params={'n_layers': 2, 'n_units': 16, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.00017805937115882503, 'batchsize': 1149}
2025-05-23_07-47-16 loss=0.000258, validation loss=0.001376, train_mae=0.007013, val_mae=0.007996, params={'n_layers': 6, 'n_units': 939, 'activation': 'swish', 'optimizer': 'adam', 'lr': 1.1633180415346654e-05, 'batchsize': 1136}
2025-05-23_07-54-59 loss=0.000127, validation loss=0.001593, train_mae=0.006281, val_mae=0.007716, params={'n_layers': 4, 'n_units': 58, 'activation': 'tanh', 'optimizer': 'RAdam', 'lr': 0.0035778169379003916, 'batchsize': 703}
2025-05-23_07-58-25 loss=0.000362, validation loss=0.006998, train_mae=0.011375, val_mae=0.020932, params={'n_layers': 8, 'n_units': 295, 'activation': 'relu', 'optimizer': 'RAdam', 'lr': 3.278841975958669e-05, 'batchsize': 690}
