2025-05-16_21-41-10 loss=0.000423, validation loss=0.005599, train_mae=0.013321, val_mae=0.017647, params={'n_layers': 4, 'n_units': 81, 'activation': 'leaky_relu', 'optimizer': 'rmsprop', 'lr': 0.00011967066962449507, 'batchsize': 63}
2025-05-16_21-44-50 loss=0.095952, validation loss=0.102763, train_mae=0.171489, val_mae=0.173569, params={'n_layers': 4, 'n_units': 280, 'activation': 'elu', 'optimizer': 'sgd', 'lr': 0.001104311953308453, 'batchsize': 1704}
2025-05-16_22-04-44 loss=0.000362, validation loss=0.023026, train_mae=0.013961, val_mae=0.050211, params={'n_layers': 8, 'n_units': 252, 'activation': 'tanh', 'optimizer': 'rmsprop', 'lr': 0.0023783866276074314, 'batchsize': 1487}
2025-05-16_22-07-52 loss=0.000538, validation loss=0.004086, train_mae=0.015007, val_mae=0.018157, params={'n_layers': 3, 'n_units': 62, 'activation': 'relu', 'optimizer': 'rmsprop', 'lr': 0.0038764551959221596, 'batchsize': 1671}
2025-05-16_22-26-35 loss=0.000504, validation loss=0.001779, train_mae=0.010729, val_mae=0.012320, params={'n_layers': 2, 'n_units': 327, 'activation': 'selu', 'optimizer': 'RAdam', 'lr': 0.0035621869534741856, 'batchsize': 1549}
2025-05-16_22-40-43 loss=0.000562, validation loss=0.002189, train_mae=0.010006, val_mae=0.011434, params={'n_layers': 2, 'n_units': 119, 'activation': 'sigmoid', 'optimizer': 'adam', 'lr': 0.0003364915031613672, 'batchsize': 270}
2025-05-16_22-42-22 loss=0.000336, validation loss=0.001481, train_mae=0.008901, val_mae=0.010236, params={'n_layers': 8, 'n_units': 283, 'activation': 'tanh', 'optimizer': 'adam', 'lr': 0.00013191891656995453, 'batchsize': 1250}
2025-05-16_22-43-57 loss=0.000555, validation loss=0.001898, train_mae=0.011744, val_mae=0.012877, params={'n_layers': 10, 'n_units': 36, 'activation': 'tanh', 'optimizer': 'RAdam', 'lr': 0.009774931397790301, 'batchsize': 958}
2025-05-16_22-46-47 loss=0.019789, validation loss=0.020142, train_mae=0.060268, val_mae=0.060183, params={'n_layers': 1, 'n_units': 132, 'activation': 'elu', 'optimizer': 'sgd', 'lr': 0.0038879197377197886, 'batchsize': 66}
2025-05-16_22-53-16 loss=0.027379, validation loss=0.027593, train_mae=0.088995, val_mae=0.088980, params={'n_layers': 4, 'n_units': 42, 'activation': 'swish', 'optimizer': 'sgd', 'lr': 0.009719547025949179, 'batchsize': 1932}
2025-05-16_23-10-13 loss=0.001857, validation loss=0.002953, train_mae=0.019106, val_mae=0.019815, params={'n_layers': 6, 'n_units': 139, 'activation': 'elu', 'optimizer': 'AdamW', 'lr': 0.006363971751261021, 'batchsize': 1068}
2025-05-16_23-23-37 loss=0.008531, validation loss=0.009866, train_mae=0.032753, val_mae=0.033980, params={'n_layers': 1, 'n_units': 290, 'activation': 'selu', 'optimizer': 'RAdam', 'lr': 0.000189864844993751, 'batchsize': 1921}
2025-05-16_23-33-35 loss=0.002332, validation loss=0.003151, train_mae=0.019427, val_mae=0.020074, params={'n_layers': 5, 'n_units': 122, 'activation': 'elu', 'optimizer': 'AdamW', 'lr': 0.009389416700410932, 'batchsize': 1972}
2025-05-16_23-38-00 loss=0.000973, validation loss=0.004342, train_mae=0.016210, val_mae=0.018957, params={'n_layers': 8, 'n_units': 424, 'activation': 'selu', 'optimizer': 'AdamW', 'lr': 0.004000336040407181, 'batchsize': 884}
2025-05-16_23-42-39 loss=0.000132, validation loss=0.001221, train_mae=0.005362, val_mae=0.006324, params={'n_layers': 10, 'n_units': 502, 'activation': 'gelu', 'optimizer': 'adam', 'lr': 0.0005150018163452623, 'batchsize': 2003}
2025-05-16_23-43-32 loss=0.081848, validation loss=0.085713, train_mae=0.160763, val_mae=0.162501, params={'n_layers': 9, 'n_units': 460, 'activation': 'relu', 'optimizer': 'sgd', 'lr': 0.00025953680521800446, 'batchsize': 535}
2025-05-17_00-09-54 loss=0.001194, validation loss=0.002002, train_mae=0.015467, val_mae=0.016044, params={'n_layers': 10, 'n_units': 232, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.009172853641855591, 'batchsize': 959}
2025-05-17_00-23-42 loss=0.004844, validation loss=0.005921, train_mae=0.020184, val_mae=0.020746, params={'n_layers': 1, 'n_units': 168, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.0019377652580421204, 'batchsize': 1156}
2025-05-17_00-26-09 loss=0.000450, validation loss=0.001142, train_mae=0.008680, val_mae=0.009315, params={'n_layers': 10, 'n_units': 493, 'activation': 'gelu', 'optimizer': 'adam', 'lr': 0.0015561615679165134, 'batchsize': 2038}
2025-05-17_00-38-04 loss=0.031748, validation loss=0.035930, train_mae=0.089379, val_mae=0.090663, params={'n_layers': 5, 'n_units': 424, 'activation': 'tanh', 'optimizer': 'sgd', 'lr': 0.002760132809875818, 'batchsize': 1157}
2025-05-17_00-41-51 loss=0.000289, validation loss=0.001547, train_mae=0.010692, val_mae=0.012370, params={'n_layers': 4, 'n_units': 176, 'activation': 'tanh', 'optimizer': 'RAdam', 'lr': 0.002904440963352668, 'batchsize': 1458}
2025-05-17_00-47-00 loss=0.003125, validation loss=0.004408, train_mae=0.024028, val_mae=0.024872, params={'n_layers': 9, 'n_units': 32, 'activation': 'gelu', 'optimizer': 'AdamW', 'lr': 0.0014940676037068505, 'batchsize': 1738}
2025-05-17_00-50-33 loss=0.003863, validation loss=0.005033, train_mae=0.022941, val_mae=0.024056, params={'n_layers': 1, 'n_units': 307, 'activation': 'selu', 'optimizer': 'RAdam', 'lr': 0.003857608779476458, 'batchsize': 1140}
2025-05-17_00-59-00 loss=0.010778, validation loss=0.011188, train_mae=0.040516, val_mae=0.040764, params={'n_layers': 8, 'n_units': 158, 'activation': 'elu', 'optimizer': 'AdamW', 'lr': 0.008249367254123978, 'batchsize': 45}
2025-05-17_01-10-48 loss=0.000863, validation loss=0.003203, train_mae=0.014211, val_mae=0.015920, params={'n_layers': 6, 'n_units': 125, 'activation': 'elu', 'optimizer': 'AdamW', 'lr': 0.005124163580876808, 'batchsize': 1896}
