46: loss=0.001012, validation loss=0.001926, train_mae=0.012242, val_mae=0.013465, params={'n_layers': 2, 'n_units': 333, 'activation': 'leaky_relu', 'lr': 0.0002654664267560516, 'optimizer': 'adam'}
47: loss=0.010684, validation loss=0.014189, train_mae=0.048345, val_mae=0.049305, params={'n_layers': 1, 'n_units': 431, 'activation': 'sigmoid', 'lr': 0.00015687580015568336, 'optimizer': 'RAdam'}
48: loss=0.011388, validation loss=0.012217, train_mae=0.049512, val_mae=0.049861, params={'n_layers': 2, 'n_units': 357, 'activation': 'gelu', 'lr': 0.003978171738765152, 'optimizer': 'AdamW'}
49: loss=0.003642, validation loss=0.005139, train_mae=0.026162, val_mae=0.026902, params={'n_layers': 1, 'n_units': 200, 'activation': 'gelu', 'lr': 0.00047350742057177816, 'optimizer': 'RAdam'}
50: loss=0.037772, validation loss=0.038763, train_mae=0.118590, val_mae=0.119163, params={'n_layers': 2, 'n_units': 298, 'activation': 'relu', 'lr': 0.001092320315320972, 'optimizer': 'sgd'}
51: loss=0.000669, validation loss=0.001236, train_mae=0.010573, val_mae=0.011166, params={'n_layers': 4, 'n_units': 263, 'activation': 'gelu', 'lr': 0.00010167141722971868, 'optimizer': 'RAdam'}
52: loss=0.000613, validation loss=0.001058, train_mae=0.010174, val_mae=0.010764, params={'n_layers': 3, 'n_units': 228, 'activation': 'gelu', 'lr': 0.00011620034559630572, 'optimizer': 'RAdam'}
53: loss=0.000704, validation loss=0.001108, train_mae=0.010680, val_mae=0.011201, params={'n_layers': 3, 'n_units': 164, 'activation': 'gelu', 'lr': 0.00012678190766605852, 'optimizer': 'RAdam'}
54: loss=0.000677, validation loss=0.001257, train_mae=0.008485, val_mae=0.009217, params={'n_layers': 2, 'n_units': 217, 'activation': 'gelu', 'lr': 0.00023448683330676214, 'optimizer': 'RAdam'}
55: loss=0.000472, validation loss=0.001062, train_mae=0.011631, val_mae=0.012322, params={'n_layers': 3, 'n_units': 127, 'activation': 'tanh', 'lr': 0.0001809441779502901, 'optimizer': 'RAdam'}
56: loss=0.000160, validation loss=0.001358, train_mae=0.006495, val_mae=0.007597, params={'n_layers': 3, 'n_units': 235, 'activation': 'gelu', 'lr': 0.00030181668921023126, 'optimizer': 'RAdam'}
57: loss=0.000275, validation loss=0.000764, train_mae=0.009268, val_mae=0.010273, params={'n_layers': 3, 'n_units': 194, 'activation': 'selu', 'lr': 0.00014000160904153848, 'optimizer': 'RAdam'}
58: loss=0.000294, validation loss=0.000855, train_mae=0.010361, val_mae=0.011383, params={'n_layers': 4, 'n_units': 199, 'activation': 'selu', 'lr': 0.00014357160690972685, 'optimizer': 'RAdam'}
59: loss=0.000764, validation loss=0.001076, train_mae=0.015689, val_mae=0.016950, params={'n_layers': 5, 'n_units': 192, 'activation': 'selu', 'lr': 0.00014830100144295927, 'optimizer': 'rmsprop'}
60: loss=0.000222, validation loss=0.000774, train_mae=0.009334, val_mae=0.010585, params={'n_layers': 4, 'n_units': 204, 'activation': 'selu', 'lr': 0.00017872179522244154, 'optimizer': 'RAdam'}
