loss=0.103202, validation loss=0.111099, train_mae=0.178766, val_mae=0.180846, params={'n_layers': 2, 'n_units': 486, 'activation': 'selu', 'lr': 0.00020015688521444664, 'optimizer': 'sgd'}
loss=0.000260, validation loss=0.001138, train_mae=0.010447, val_mae=0.011726, params={'n_layers': 9, 'n_units': 450, 'activation': 'selu', 'lr': 0.00029022900624298495, 'optimizer': 'RAdam'}
loss=0.000713, validation loss=0.001121, train_mae=0.012645, val_mae=0.013221, params={'n_layers': 4, 'n_units': 511, 'activation': 'selu', 'lr': 0.00024203519959691133, 'optimizer': 'RAdam'}
loss=0.000275, validation loss=0.000777, train_mae=0.008912, val_mae=0.009834, params={'n_layers': 3, 'n_units': 491, 'activation': 'selu', 'lr': 0.00014961103634207194, 'optimizer': 'RAdam'}
loss=0.000383, validation loss=0.000758, train_mae=0.008650, val_mae=0.009522, params={'n_layers': 2, 'n_units': 410, 'activation': 'selu', 'lr': 0.00015359382291374945, 'optimizer': 'RAdam'}
loss=0.000397, validation loss=0.000823, train_mae=0.011096, val_mae=0.011945, params={'n_layers': 2, 'n_units': 411, 'activation': 'selu', 'lr': 0.00015473466267516402, 'optimizer': 'RAdam'}
loss=0.000423, validation loss=0.000916, train_mae=0.008632, val_mae=0.009589, params={'n_layers': 2, 'n_units': 418, 'activation': 'selu', 'lr': 0.00012552692743347598, 'optimizer': 'RAdam'}
loss=0.009763, validation loss=0.011504, train_mae=0.049365, val_mae=0.050412, params={'n_layers': 1, 'n_units': 404, 'activation': 'selu', 'lr': 0.00012557243621632956, 'optimizer': 'RAdam'}
loss=0.000487, validation loss=0.000952, train_mae=0.011423, val_mae=0.012237, params={'n_layers': 2, 'n_units': 412, 'activation': 'selu', 'lr': 0.00015388278804015254, 'optimizer': 'RAdam'}
loss=0.000401, validation loss=0.000910, train_mae=0.011453, val_mae=0.012365, params={'n_layers': 2, 'n_units': 417, 'activation': 'selu', 'lr': 0.0001571132665309688, 'optimizer': 'RAdam'}
