loss=0.004301, validation loss=0.004902, train_mae=0.035728, val_mae=0.036462, params={'n_layers': 8, 'n_units': 18, 'activation': 'elu', 'lr': 0.00016167169699715677, 'optimizer': 'rmsprop'}
loss=0.000278, validation loss=0.001158, train_mae=0.007866, val_mae=0.008974, params={'n_layers': 5, 'n_units': 398, 'activation': 'elu', 'lr': 0.00041830722020597854, 'optimizer': 'RAdam'}
loss=0.000577, validation loss=0.001237, train_mae=0.010153, val_mae=0.010849, params={'n_layers': 4, 'n_units': 366, 'activation': 'elu', 'lr': 0.00019029278412145462, 'optimizer': 'RAdam'}
loss=0.000197, validation loss=0.000793, train_mae=0.008616, val_mae=0.009609, params={'n_layers': 5, 'n_units': 384, 'activation': 'elu', 'lr': 0.00040866551753133165, 'optimizer': 'RAdam'}
loss=0.000194, validation loss=0.000884, train_mae=0.007945, val_mae=0.008864, params={'n_layers': 6, 'n_units': 466, 'activation': 'elu', 'lr': 0.0002599961037172996, 'optimizer': 'RAdam'}
loss=0.000135, validation loss=0.000945, train_mae=0.006891, val_mae=0.008001, params={'n_layers': 6, 'n_units': 489, 'activation': 'elu', 'lr': 0.0002553796841533879, 'optimizer': 'RAdam'}
loss=0.000362, validation loss=0.001687, train_mae=0.012475, val_mae=0.014957, params={'n_layers': 7, 'n_units': 493, 'activation': 'relu', 'lr': 0.00018776168348295672, 'optimizer': 'RAdam'}
loss=0.043395, validation loss=0.049204, train_mae=0.131591, val_mae=0.132842, params={'n_layers': 6, 'n_units': 481, 'activation': 'swish', 'lr': 0.00035270450510995475, 'optimizer': 'sgd'}
loss=0.000154, validation loss=0.000783, train_mae=0.007064, val_mae=0.008000, params={'n_layers': 6, 'n_units': 452, 'activation': 'elu', 'lr': 0.00023866372469825067, 'optimizer': 'RAdam'}
loss=0.000220, validation loss=0.001341, train_mae=0.009579, val_mae=0.010860, params={'n_layers': 7, 'n_units': 464, 'activation': 'elu', 'lr': 0.00029989828949784594, 'optimizer': 'RAdam'}
loss=0.000151, validation loss=0.002907, train_mae=0.007977, val_mae=0.011523, params={'n_layers': 8, 'n_units': 441, 'activation': 'tanh', 'lr': 0.00015985864112872495, 'optimizer': 'RAdam'}
loss=0.016605, validation loss=0.017323, train_mae=0.069424, val_mae=0.069709, params={'n_layers': 6, 'n_units': 402, 'activation': 'gelu', 'lr': 0.0006211468137898026, 'optimizer': 'AdamW'}
loss=0.000618, validation loss=0.001549, train_mae=0.013919, val_mae=0.015018, params={'n_layers': 6, 'n_units': 470, 'activation': 'selu', 'lr': 0.00011644614929089273, 'optimizer': 'RAdam'}
loss=0.000360, validation loss=0.001033, train_mae=0.010829, val_mae=0.011862, params={'n_layers': 6, 'n_units': 497, 'activation': 'elu', 'lr': 0.00024468203695498543, 'optimizer': 'RAdam'}
loss=0.000119, validation loss=0.001058, train_mae=0.006312, val_mae=0.007476, params={'n_layers': 6, 'n_units': 512, 'activation': 'elu', 'lr': 0.00022591283179319537, 'optimizer': 'RAdam'}
loss=0.000161, validation loss=0.001133, train_mae=0.007866, val_mae=0.009096, params={'n_layers': 7, 'n_units': 509, 'activation': 'elu', 'lr': 0.00022877152395795348, 'optimizer': 'RAdam'}
loss=0.000316, validation loss=0.001548, train_mae=0.010799, val_mae=0.012173, params={'n_layers': 7, 'n_units': 493, 'activation': 'elu', 'lr': 0.00018149677955170616, 'optimizer': 'RAdam'}
loss=0.000393, validation loss=0.001503, train_mae=0.008338, val_mae=0.009256, params={'n_layers': 6, 'n_units': 481, 'activation': 'elu', 'lr': 0.000134521422738933, 'optimizer': 'RAdam'}
loss=0.000327, validation loss=0.005045, train_mae=0.012585, val_mae=0.018897, params={'n_layers': 6, 'n_units': 438, 'activation': 'elu', 'lr': 0.00037256712041387687, 'optimizer': 'rmsprop'}
loss=0.018300, validation loss=0.019587, train_mae=0.077159, val_mae=0.078272, params={'n_layers': 5, 'n_units': 421, 'activation': 'selu', 'lr': 0.0002899980683487961, 'optimizer': 'sgd'}
