loss=0.005188, validation loss=0.006186, train_mae=0.038358, val_mae=0.039124, params={'n_layers': 2, 'n_units': 33, 'activation': 'leaky_relu', 'lr': 0.00044307161261023713, 'optimizer': 'RAdam'}
loss=0.000427, validation loss=0.001490, train_mae=0.011872, val_mae=0.012790, params={'n_layers': 5, 'n_units': 223, 'activation': 'sigmoid', 'lr': 0.0005218876352713461, 'optimizer': 'RAdam'}
loss=0.000520, validation loss=0.001077, train_mae=0.012250, val_mae=0.012873, params={'n_layers': 3, 'n_units': 97, 'activation': 'tanh', 'lr': 0.0002635002106115584, 'optimizer': 'RAdam'}
loss=0.000769, validation loss=0.001718, train_mae=0.016367, val_mae=0.017971, params={'n_layers': 5, 'n_units': 181, 'activation': 'relu', 'lr': 0.0009231634164830557, 'optimizer': 'RAdam'}
loss=0.000466, validation loss=0.001383, train_mae=0.012134, val_mae=0.012953, params={'n_layers': 5, 'n_units': 74, 'activation': 'sigmoid', 'lr': 0.0010405816838078448, 'optimizer': 'RAdam'}
loss=0.000694, validation loss=0.001053, train_mae=0.013820, val_mae=0.014329, params={'n_layers': 5, 'n_units': 70, 'activation': 'sigmoid', 'lr': 0.0005742915961194507, 'optimizer': 'RAdam'}
loss=0.001807, validation loss=0.001698, train_mae=0.019814, val_mae=0.020085, params={'n_layers': 4, 'n_units': 54, 'activation': 'sigmoid', 'lr': 0.0003949905099245013, 'optimizer': 'RAdam'}
loss=0.000529, validation loss=0.001368, train_mae=0.013719, val_mae=0.014601, params={'n_layers': 6, 'n_units': 130, 'activation': 'sigmoid', 'lr': 0.0008061860347601847, 'optimizer': 'RAdam'}
loss=0.000912, validation loss=0.001157, train_mae=0.017077, val_mae=0.017542, params={'n_layers': 4, 'n_units': 29, 'activation': 'gelu', 'lr': 0.0007326170947532666, 'optimizer': 'RAdam'}
loss=0.022904, validation loss=0.023885, train_mae=0.081136, val_mae=0.081279, params={'n_layers': 6, 'n_units': 81, 'activation': 'swish', 'lr': 0.00135877500308618, 'optimizer': 'AdamW'}
loss=0.001091, validation loss=0.001731, train_mae=0.021618, val_mae=0.022607, params={'n_layers': 9, 'n_units': 304, 'activation': 'selu', 'lr': 0.00108637716406956, 'optimizer': 'RAdam'}
loss=0.000727, validation loss=0.002425, train_mae=0.015202, val_mae=0.016890, params={'n_layers': 5, 'n_units': 107, 'activation': 'elu', 'lr': 0.00030859790781437475, 'optimizer': 'rmsprop'}
loss=0.000695, validation loss=0.000937, train_mae=0.012294, val_mae=0.012684, params={'n_layers': 4, 'n_units': 55, 'activation': 'swish', 'lr': 0.00020910724021252794, 'optimizer': 'adam'}
loss=0.000859, validation loss=0.001213, train_mae=0.013473, val_mae=0.013934, params={'n_layers': 3, 'n_units': 56, 'activation': 'swish', 'lr': 0.00021092782861028542, 'optimizer': 'adam'}
loss=0.002080, validation loss=0.002200, train_mae=0.022502, val_mae=0.022769, params={'n_layers': 4, 'n_units': 33, 'activation': 'swish', 'lr': 0.0001562969891932227, 'optimizer': 'adam'}
loss=0.000901, validation loss=0.002108, train_mae=0.013362, val_mae=0.014024, params={'n_layers': 5, 'n_units': 73, 'activation': 'swish', 'lr': 0.0008821265951473453, 'optimizer': 'adam'}
loss=0.003568, validation loss=0.004222, train_mae=0.035265, val_mae=0.035673, params={'n_layers': 4, 'n_units': 17, 'activation': 'elu', 'lr': 0.00022668950512003862, 'optimizer': 'adam'}
loss=0.023798, validation loss=0.025537, train_mae=0.100529, val_mae=0.101704, params={'n_layers': 8, 'n_units': 97, 'activation': 'swish', 'lr': 0.0005516935517996943, 'optimizer': 'sgd'}
loss=0.000711, validation loss=0.001449, train_mae=0.015895, val_mae=0.016976, params={'n_layers': 5, 'n_units': 48, 'activation': 'leaky_relu', 'lr': 0.0002869832297314904, 'optimizer': 'RAdam'}
loss=0.001145, validation loss=0.001436, train_mae=0.017219, val_mae=0.017707, params={'n_layers': 4, 'n_units': 122, 'activation': 'sigmoid', 'lr': 0.00017905444934552872, 'optimizer': 'RAdam'}
loss=0.000990, validation loss=0.001258, train_mae=0.014341, val_mae=0.014716, params={'n_layers': 3, 'n_units': 145, 'activation': 'swish', 'lr': 0.008920002992916759, 'optimizer': 'adam'}
loss=0.000146, validation loss=0.000918, train_mae=0.007296, val_mae=0.008309, params={'n_layers': 5, 'n_units': 61, 'activation': 'elu', 'lr': 0.0006652281356108881, 'optimizer': 'RAdam'}
loss=0.000503, validation loss=0.001354, train_mae=0.013981, val_mae=0.014929, params={'n_layers': 10, 'n_units': 56, 'activation': 'elu', 'lr': 0.00036042419029502846, 'optimizer': 'RAdam'}
loss=0.000634, validation loss=0.000976, train_mae=0.014251, val_mae=0.014741, params={'n_layers': 9, 'n_units': 31, 'activation': 'elu', 'lr': 0.0006302892180450974, 'optimizer': 'RAdam'}
loss=0.000966, validation loss=0.001368, train_mae=0.018231, val_mae=0.018766, params={'n_layers': 9, 'n_units': 29, 'activation': 'elu', 'lr': 0.000668700934537364, 'optimizer': 'RAdam'}
loss=0.000387, validation loss=0.001067, train_mae=0.012559, val_mae=0.013508, params={'n_layers': 9, 'n_units': 44, 'activation': 'elu', 'lr': 0.000487231929562148, 'optimizer': 'RAdam'}
loss=0.000309, validation loss=0.001280, train_mae=0.011346, val_mae=0.012551, params={'n_layers': 8, 'n_units': 377, 'activation': 'elu', 'lr': 0.0006119796984629647, 'optimizer': 'RAdam'}
