0: loss=0.090140, params={'n_layers': 5, 'n_units': 375, 'activation': 'swish', 'lr': 0.007023366705110221, 'optimizer': 'rmsprop'}
0: loss=0.003224, params={'n_layers': 1, 'n_units': 348, 'activation': 'elu', 'lr': 0.008595978127650243, 'optimizer': 'adam'}
1: loss=1.027616, params={'n_layers': 9, 'n_units': 191, 'activation': 'sigmoid', 'lr': 0.006664562885103201, 'optimizer': 'rmsprop'}
2635358
60: loss=0.000400, validation loss=0.000935, train_mae=0.011159, val_mae=0.011859, params={'n_layers': 3, 'n_units': 59, 'activation': 'gelu', 'lr': 0.0010498266060056825, 'optimizer': 'adam'}
61: loss=0.000487, validation loss=0.000803, train_mae=0.012765, val_mae=0.013217, params={'n_layers': 3, 'n_units': 36, 'activation': 'gelu', 'lr': 0.001129751692028555, 'optimizer': 'adam'}
62: loss=0.001094, validation loss=0.001365, train_mae=0.016817, val_mae=0.017289, params={'n_layers': 2, 'n_units': 34, 'activation': 'gelu', 'lr': 0.0013473935610460277, 'optimizer': 'adam'}
63: loss=0.000883, validation loss=0.001753, train_mae=0.013941, val_mae=0.014563, params={'n_layers': 4, 'n_units': 66, 'activation': 'gelu', 'lr': 0.0005803298054849595, 'optimizer': 'adam'}
64: loss=0.000906, validation loss=0.001002, train_mae=0.014723, val_mae=0.015117, params={'n_layers': 3, 'n_units': 37, 'activation': 'sigmoid', 'lr': 0.000750669134816034, 'optimizer': 'adam'}
65: loss=0.000617, validation loss=0.002084, train_mae=0.013790, val_mae=0.014678, params={'n_layers': 4, 'n_units': 142, 'activation': 'gelu', 'lr': 0.0034260856189021467, 'optimizer': 'RAdam'}
66: loss=0.003606, validation loss=0.004734, train_mae=0.028288, val_mae=0.028916, params={'n_layers': 1, 'n_units': 96, 'activation': 'sigmoid', 'lr': 0.0011029758770879387, 'optimizer': 'adam'}
67: loss=0.042703, validation loss=0.045501, train_mae=0.123075, val_mae=0.123904, params={'n_layers': 2, 'n_units': 183, 'activation': 'swish', 'lr': 0.0015794488813755854, 'optimizer': 'AdamW'}
68: loss=0.001521, validation loss=0.002126, train_mae=0.020138, val_mae=0.020743, params={'n_layers': 4, 'n_units': 163, 'activation': 'selu', 'lr': 0.005939969538776506, 'optimizer': 'adam'}
69: loss=0.000330, validation loss=0.000910, train_mae=0.009233, val_mae=0.009992, params={'n_layers': 3, 'n_units': 81, 'activation': 'elu', 'lr': 0.0008776077068857612, 'optimizer': 'RAdam'}
70: loss=0.000388, validation loss=0.000864, train_mae=0.009827, val_mae=0.010565, params={'n_layers': 3, 'n_units': 81, 'activation': 'elu', 'lr': 0.0003134433605315803, 'optimizer': 'RAdam'}
71: loss=0.000368, validation loss=0.000934, train_mae=0.009581, val_mae=0.010388, params={'n_layers': 3, 'n_units': 75, 'activation': 'elu', 'lr': 0.00030471431882339307, 'optimizer': 'RAdam'}
72: loss=0.002236, validation loss=0.002933, train_mae=0.025706, val_mae=0.026345, params={'n_layers': 2, 'n_units': 41, 'activation': 'elu', 'lr': 0.00021760272931708996, 'optimizer': 'RAdam'}
73: loss=0.000689, validation loss=0.001214, train_mae=0.012428, val_mae=0.013236, params={'n_layers': 3, 'n_units': 85, 'activation': 'elu', 'lr': 0.0026158041976745835, 'optimizer': 'RAdam'}
74: loss=0.000845, validation loss=0.001222, train_mae=0.012753, val_mae=0.013334, params={'n_layers': 2, 'n_units': 113, 'activation': 'elu', 'lr': 0.0002149255777279932, 'optimizer': 'RAdam'}
75: loss=0.000470, validation loss=0.001234, train_mae=0.009928, val_mae=0.010841, params={'n_layers': 3, 'n_units': 386, 'activation': 'elu', 'lr': 0.0009038451162181474, 'optimizer': 'RAdam'}
76: loss=0.000467, validation loss=0.000972, train_mae=0.010345, val_mae=0.010981, params={'n_layers': 3, 'n_units': 69, 'activation': 'elu', 'lr': 0.0006659791127870579, 'optimizer': 'RAdam'}
77: loss=0.002286, validation loss=0.002474, train_mae=0.026004, val_mae=0.026361, params={'n_layers': 4, 'n_units': 30, 'activation': 'elu', 'lr': 0.00013388285466389496, 'optimizer': 'RAdam'}
78: loss=0.001406, validation loss=0.002087, train_mae=0.016706, val_mae=0.017522, params={'n_layers': 3, 'n_units': 97, 'activation': 'leaky_relu', 'lr': 0.008384802789305857, 'optimizer': 'RAdam'}
79: loss=0.000774, validation loss=0.001187, train_mae=0.012517, val_mae=0.013022, params={'n_layers': 2, 'n_units': 125, 'activation': 'sigmoid', 'lr': 0.0004941971231654148, 'optimizer': 'RAdam'}
80: loss=0.044508, validation loss=0.046026, train_mae=0.133829, val_mae=0.134281, params={'n_layers': 4, 'n_units': 83, 'activation': 'gelu', 'lr': 0.00034060908699607876, 'optimizer': 'sgd'}
81: loss=0.000322, validation loss=0.001209, train_mae=0.010101, val_mae=0.011034, params={'n_layers': 4, 'n_units': 141, 'activation': 'sigmoid', 'lr': 0.0013162859275473884, 'optimizer': 'adam'}
