loss=0.000848, validation loss=0.001017, train_mae=0.013988, val_mae=0.014441, params={'n_layers': 3, 'n_units': 323, 'activation': 'sigmoid', 'lr': 0.00013130824664736303, 'optimizer': 'RAdam'}
loss=0.095046, validation loss=0.102983, train_mae=0.171411, val_mae=0.173594, params={'n_layers': 2, 'n_units': 443, 'activation': 'swish', 'lr': 0.0003521716238767853, 'optimizer': 'sgd'}
loss=0.008586, validation loss=0.009494, train_mae=0.053062, val_mae=0.053959, params={'n_layers': 6, 'n_units': 285, 'activation': 'sigmoid', 'lr': 0.00016952224209015906, 'optimizer': 'rmsprop'}
loss=0.000313, validation loss=0.000930, train_mae=0.008965, val_mae=0.009786, params={'n_layers': 4, 'n_units': 361, 'activation': 'sigmoid', 'lr': 0.0014766015330933899, 'optimizer': 'RAdam'}
loss=0.000604, validation loss=0.001870, train_mae=0.014165, val_mae=0.016971, params={'n_layers': 5, 'n_units': 413, 'activation': 'tanh', 'lr': 0.0006787995705949949, 'optimizer': 'RAdam'}
loss=0.000654, validation loss=0.001196, train_mae=0.013013, val_mae=0.013726, params={'n_layers': 3, 'n_units': 386, 'activation': 'selu', 'lr': 0.0002955008083253876, 'optimizer': 'RAdam'}
loss=1.000001, validation loss=1.027771, train_mae=0.750793, val_mae=0.754107, params={'n_layers': 4, 'n_units': 157, 'activation': 'sigmoid', 'lr': 0.00023012374739799074, 'optimizer': 'sgd'}
loss=0.000760, validation loss=0.000876, train_mae=0.012591, val_mae=0.012995, params={'n_layers': 3, 'n_units': 367, 'activation': 'sigmoid', 'lr': 0.00016296153688301996, 'optimizer': 'RAdam'}
loss=0.001623, validation loss=0.002169, train_mae=0.017326, val_mae=0.017899, params={'n_layers': 2, 'n_units': 306, 'activation': 'sigmoid', 'lr': 0.00012629189044011251, 'optimizer': 'RAdam'}
loss=0.000547, validation loss=0.000699, train_mae=0.009492, val_mae=0.010001, params={'n_layers': 3, 'n_units': 357, 'activation': 'sigmoid', 'lr': 0.00020400839568153128, 'optimizer': 'RAdam'}
loss=0.000280, validation loss=0.001533, train_mae=0.009232, val_mae=0.010291, params={'n_layers': 4, 'n_units': 335, 'activation': 'gelu', 'lr': 0.00018816664211749058, 'optimizer': 'RAdam'}
loss=0.000670, validation loss=0.001659, train_mae=0.012572, val_mae=0.013504, params={'n_layers': 3, 'n_units': 451, 'activation': 'sigmoid', 'lr': 0.003378291846331587, 'optimizer': 'adam'}
loss=0.000425, validation loss=0.000769, train_mae=0.009648, val_mae=0.010333, params={'n_layers': 2, 'n_units': 244, 'activation': 'elu', 'lr': 0.0004897261990711397, 'optimizer': 'RAdam'}
loss=0.006158, validation loss=0.008870, train_mae=0.037918, val_mae=0.038640, params={'n_layers': 1, 'n_units': 236, 'activation': 'elu', 'lr': 0.0005003329259363751, 'optimizer': 'RAdam'}
loss=0.107591, validation loss=0.118087, train_mae=0.194143, val_mae=0.197588, params={'n_layers': 2, 'n_units': 163, 'activation': 'elu', 'lr': 0.00041789684444371175, 'optimizer': 'AdamW'}
loss=0.002961, validation loss=0.003688, train_mae=0.021509, val_mae=0.022046, params={'n_layers': 2, 'n_units': 239, 'activation': 'elu', 'lr': 0.0002726604407786119, 'optimizer': 'rmsprop'}
loss=0.002379, validation loss=0.003564, train_mae=0.023113, val_mae=0.023811, params={'n_layers': 1, 'n_units': 293, 'activation': 'relu', 'lr': 0.0003709077407077416, 'optimizer': 'RAdam'}
loss=0.000588, validation loss=0.000722, train_mae=0.009752, val_mae=0.010227, params={'n_layers': 3, 'n_units': 425, 'activation': 'sigmoid', 'lr': 0.00020819326880409917, 'optimizer': 'RAdam'}
loss=0.000495, validation loss=0.001824, train_mae=0.010356, val_mae=0.012083, params={'n_layers': 3, 'n_units': 423, 'activation': 'leaky_relu', 'lr': 0.00021442957531765788, 'optimizer': 'RAdam'}
loss=0.000769, validation loss=0.001038, train_mae=0.009464, val_mae=0.009913, params={'n_layers': 2, 'n_units': 473, 'activation': 'sigmoid', 'lr': 0.00030919588839573725, 'optimizer': 'RAdam'}
loss=0.000490, validation loss=0.001170, train_mae=0.009631, val_mae=0.010318, params={'n_layers': 3, 'n_units': 396, 'activation': 'elu', 'lr': 0.00022363876706044166, 'optimizer': 'RAdam'}
loss=0.001655, validation loss=0.002124, train_mae=0.017448, val_mae=0.018010, params={'n_layers': 2, 'n_units': 432, 'activation': 'sigmoid', 'lr': 0.0001227590343616726, 'optimizer': 'RAdam'}
loss=0.000434, validation loss=0.001023, train_mae=0.009746, val_mae=0.010321, params={'n_layers': 4, 'n_units': 283, 'activation': 'swish', 'lr': 0.00010010641560614978, 'optimizer': 'adam'}
loss=0.000469, validation loss=0.000749, train_mae=0.009861, val_mae=0.010417, params={'n_layers': 3, 'n_units': 353, 'activation': 'sigmoid', 'lr': 0.0007388825696740204, 'optimizer': 'RAdam'}
loss=0.000344, validation loss=0.000837, train_mae=0.009858, val_mae=0.010541, params={'n_layers': 3, 'n_units': 350, 'activation': 'sigmoid', 'lr': 0.0010373441231673803, 'optimizer': 'RAdam'}
loss=0.000516, validation loss=0.001720, train_mae=0.013775, val_mae=0.015243, params={'n_layers': 3, 'n_units': 327, 'activation': 'relu', 'lr': 0.0007680037421510246, 'optimizer': 'RAdam'}
