loss=0.000434, validation loss=0.001929, train_mae=0.013314, val_mae=0.014932, params={'n_layers': 7, 'n_units': 313, 'activation': 'selu', 'lr': 0.0001965058882589197, 'optimizer': 'adam'}
loss=0.000461, validation loss=0.000912, train_mae=0.009937, val_mae=0.010593, params={'n_layers': 4, 'n_units': 242, 'activation': 'sigmoid', 'lr': 0.00034313596693274156, 'optimizer': 'adam'}
loss=0.003368, validation loss=0.003927, train_mae=0.028329, val_mae=0.029084, params={'n_layers': 2, 'n_units': 52, 'activation': 'relu', 'lr': 0.000652629040752974, 'optimizer': 'rmsprop'}
loss=0.370632, validation loss=0.387740, train_mae=0.414748, val_mae=0.418715, params={'n_layers': 5, 'n_units': 355, 'activation': 'sigmoid', 'lr': 0.00024078681484197682, 'optimizer': 'AdamW'}
loss=1.000053, validation loss=1.027652, train_mae=0.751232, val_mae=0.754533, params={'n_layers': 10, 'n_units': 114, 'activation': 'sigmoid', 'lr': 0.0005413304488556801, 'optimizer': 'adam'}
loss=0.000572, validation loss=0.001069, train_mae=0.011497, val_mae=0.012218, params={'n_layers': 5, 'n_units': 395, 'activation': 'sigmoid', 'lr': 0.00012650432733242375, 'optimizer': 'adam'}
loss=0.000448, validation loss=0.000844, train_mae=0.009585, val_mae=0.010220, params={'n_layers': 4, 'n_units': 430, 'activation': 'sigmoid', 'lr': 0.00017034713130820953, 'optimizer': 'adam'}
loss=0.000561, validation loss=0.000769, train_mae=0.010872, val_mae=0.011433, params={'n_layers': 3, 'n_units': 446, 'activation': 'sigmoid', 'lr': 0.00016318021629536185, 'optimizer': 'adam'}
loss=0.000570, validation loss=0.000723, train_mae=0.009470, val_mae=0.009958, params={'n_layers': 3, 'n_units': 466, 'activation': 'sigmoid', 'lr': 0.0001873928510922887, 'optimizer': 'adam'}
loss=0.084544, validation loss=0.091191, train_mae=0.166231, val_mae=0.168113, params={'n_layers': 3, 'n_units': 489, 'activation': 'gelu', 'lr': 0.00019027178883584118, 'optimizer': 'sgd'}
loss=0.000976, validation loss=0.001809, train_mae=0.010424, val_mae=0.011788, params={'n_layers': 2, 'n_units': 465, 'activation': 'leaky_relu', 'lr': 0.00011703110071247372, 'optimizer': 'adam'}
loss=0.005088, validation loss=0.006511, train_mae=0.033091, val_mae=0.033578, params={'n_layers': 1, 'n_units': 462, 'activation': 'sigmoid', 'lr': 0.00035946295569330396, 'optimizer': 'adam'}
loss=0.000564, validation loss=0.001363, train_mae=0.010560, val_mae=0.011397, params={'n_layers': 3, 'n_units': 443, 'activation': 'elu', 'lr': 0.0004461169164880352, 'optimizer': 'RAdam'}
loss=0.000702, validation loss=0.001003, train_mae=0.012719, val_mae=0.013568, params={'n_layers': 2, 'n_units': 485, 'activation': 'sigmoid', 'lr': 0.007955715101057897, 'optimizer': 'adam'}
loss=0.000635, validation loss=0.001074, train_mae=0.010430, val_mae=0.011070, params={'n_layers': 3, 'n_units': 229, 'activation': 'swish', 'lr': 0.00029401903985176644, 'optimizer': 'adam'}
loss=0.000586, validation loss=0.000802, train_mae=0.010218, val_mae=0.010758, params={'n_layers': 4, 'n_units': 512, 'activation': 'sigmoid', 'lr': 0.00015978794920735328, 'optimizer': 'adam'}
loss=0.000646, validation loss=0.000869, train_mae=0.011660, val_mae=0.012209, params={'n_layers': 3, 'n_units': 478, 'activation': 'sigmoid', 'lr': 0.0001468093210329907, 'optimizer': 'adam'}
loss=0.000358, validation loss=0.001135, train_mae=0.009458, val_mae=0.010362, params={'n_layers': 4, 'n_units': 499, 'activation': 'sigmoid', 'lr': 0.00020751260926479118, 'optimizer': 'adam'}
loss=0.000774, validation loss=0.000940, train_mae=0.012018, val_mae=0.012508, params={'n_layers': 3, 'n_units': 504, 'activation': 'sigmoid', 'lr': 0.00011083700866954153, 'optimizer': 'adam'}
loss=0.081326, validation loss=0.086397, train_mae=0.169480, val_mae=0.170693, params={'n_layers': 4, 'n_units': 410, 'activation': 'tanh', 'lr': 0.00016458624262893863, 'optimizer': 'AdamW'}
loss=0.001468, validation loss=0.001974, train_mae=0.017377, val_mae=0.017950, params={'n_layers': 2, 'n_units': 193, 'activation': 'sigmoid', 'lr': 0.00021765974580848838, 'optimizer': 'adam'}
loss=0.000464, validation loss=0.000732, train_mae=0.009725, val_mae=0.010174, params={'n_layers': 4, 'n_units': 158, 'activation': 'sigmoid', 'lr': 0.0002626491182187174, 'optimizer': 'adam'}
loss=0.001053, validation loss=0.002163, train_mae=0.019085, val_mae=0.020891, params={'n_layers': 5, 'n_units': 148, 'activation': 'selu', 'lr': 0.0004065194883736081, 'optimizer': 'rmsprop'}
loss=0.221272, validation loss=0.228656, train_mae=0.316478, val_mae=0.317419, params={'n_layers': 2, 'n_units': 377, 'activation': 'relu', 'lr': 0.00017913027804395995, 'optimizer': 'sgd'}
loss=1.000007, validation loss=1.027728, train_mae=0.750999, val_mae=0.754309, params={'n_layers': 9, 'n_units': 456, 'activation': 'sigmoid', 'lr': 0.00014702745186504995, 'optimizer': 'adam'}
loss=0.000524, validation loss=0.000674, train_mae=0.009241, val_mae=0.009725, params={'n_layers': 3, 'n_units': 511, 'activation': 'sigmoid', 'lr': 0.00026683340935856333, 'optimizer': 'adam'}
loss=0.000480, validation loss=0.000700, train_mae=0.009314, val_mae=0.009874, params={'n_layers': 3, 'n_units': 445, 'activation': 'sigmoid', 'lr': 0.0003295288839418817, 'optimizer': 'adam'}
loss=0.000468, validation loss=0.000720, train_mae=0.009322, val_mae=0.009918, params={'n_layers': 3, 'n_units': 439, 'activation': 'sigmoid', 'lr': 0.00032620289950693827, 'optimizer': 'adam'}
loss=0.000515, validation loss=0.000683, train_mae=0.009366, val_mae=0.009876, params={'n_layers': 3, 'n_units': 441, 'activation': 'sigmoid', 'lr': 0.0003231671169407837, 'optimizer': 'adam'}
loss=0.000521, validation loss=0.000714, train_mae=0.009501, val_mae=0.010047, params={'n_layers': 3, 'n_units': 445, 'activation': 'sigmoid', 'lr': 0.00032094035382007537, 'optimizer': 'adam'}
loss=0.000635, validation loss=0.000894, train_mae=0.008578, val_mae=0.009089, params={'n_layers': 2, 'n_units': 424, 'activation': 'sigmoid', 'lr': 0.0003313964755549902, 'optimizer': 'adam'}
